metric,mean,median
estimatedTBT,14006.63094147795,8640.1728
fcp,12342.971946232006,8533.504
navigationTiming_connectEnd,7034.457333134685,4516.757
navigationTiming_connectStart,4282.386003575685,2400.048
navigationTiming_domComplete,23336.077889551052,14400.288
navigationTiming_domContentLoadedEventEnd,14159.040293404847,9316.853
navigationTiming_domContentLoadedEventStart,14134.69534882797,9300.186
navigationTiming_domInteractive,12909.753620977353,8633.506
navigationTiming_domainLookupEnd,4243.681746523639,2366.714
navigationTiming_domainLookupStart,4243.681746523639,2366.714
navigationTiming_fetchStart,4243.681746523639,2366.714
navigationTiming_loadEventEnd,23344.38490246325,14400.288
navigationTiming_loadEventStart,23336.412289034564,14400.288
navigationTiming_requestStart,7040.161989670242,4525.0905
navigationTiming_responseEnd,8144.332529797378,5408.4415
navigationTiming_responseStart,8067.106114421931,5383.441
navigationTiming_secureConnectionStart,6139.024910210568,3750.075
